1,1,1902.0,895.0,49.0,38.0,1,1,1.0
1,2,1125.0,989.0,44.0,37.0,1,3,1.0
1,3,663.0,1312.0,39.0,30.0,1,4,1.0
1,4,744.0,952.0,41.0,44.0,1,2,1.0
2,1,1902.0,895.0,47.0,38.0,1,1,1.0
2,2,1128.0,989.0,42.0,37.0,1,3,1.0
2,3,663.0,1313.0,41.0,29.0,1,4,1.0
2,4,747.0,962.0,33.0,45.0,1,2,1.0
3,1,1903.0,898.0,49.0,34.0,1,1,1.0
3,2,1129.0,992.0,39.0,37.0,1,3,1.0
3,3,671.0,1316.0,39.0,23.0,1,4,1.0
3,4,745.0,988.0,29.0,38.0,1,2,1.0
4,1,1903.0,898.0,52.0,35.0,1,1,1.0
4,2,1130.0,991.0,37.0,40.0,1,3,1.0
4,3,684.0,1313.0,37.0,30.0,1,4,1.0
4,4,744.0,1004.0,29.0,44.0,1,2,1.0
5,1,1915.0,898.0,43.0,30.0,1,1,1.0
5,2,1130.0,991.0,37.0,41.0,1,3,1.0
5,3,684.0,1316.0,37.0,34.0,1,4,1.0
5,4,744.0,1024.0,28.0,44.0,1,2,1.0
6,1,1917.0,897.0,46.0,31.0,1,1,1.0
6,2,1130.0,991.0,39.0,41.0,1,3,1.0
6,3,683.0,1316.0,37.0,37.0,1,4,1.0
6,4,745.0,1034.0,31.0,43.0,1,2,1.0
7,1,1922.0,888.0,46.0,37.0,1,1,1.0
7,2,1130.0,991.0,39.0,42.0,1,3,1.0
7,3,685.0,1315.0,26.0,40.0,1,4,1.0
7,4,748.0,1056.0,32.0,40.0,1,2,1.0
8,1,1925.0,880.0,39.0,46.0,1,1,1.0
8,2,1130.0,991.0,39.0,45.0,1,3,1.0
8,3,680.0,1315.0,31.0,38.0,1,4,1.0
8,4,750.0,1068.0,46.0,40.0,1,2,1.0
9,1,1926.0,882.0,36.0,39.0,1,1,1.0
9,2,1130.0,991.0,37.0,42.0,1,3,1.0
9,3,678.0,1316.0,33.0,38.0,1,4,1.0
9,4,762.0,1068.0,38.0,44.0,1,2,1.0
10,1,1926.0,878.0,37.0,42.0,1,1,1.0
10,2,1130.0,991.0,37.0,42.0,1,3,1.0
10,3,674.0,1316.0,37.0,35.0,1,4,1.0
10,4,764.0,1084.0,42.0,40.0,1,2,1.0
11,1,1932.0,864.0,32.0,40.0,1,1,1.0
11,2,1138.0,991.0,36.0,47.0,1,3,1.0
11,3,666.0,1315.0,36.0,31.0,1,4,1.0
11,4,777.0,1104.0,33.0,38.0,1,2,1.0
12,1,1936.0,848.0,28.0,48.0,1,1,1.0
12,2,1142.0,997.0,46.0,31.0,1,3,1.0
12,3,670.0,1320.0,36.0,23.0,1,4,1.0
12,4,767.0,1124.0,39.0,36.0,1,2,1.0
13,1,1930.0,841.0,34.0,45.0,1,1,1.0
13,2,1158.0,1000.0,41.0,27.0,1,3,1.0
13,3,672.0,1320.0,34.0,23.0,1,4,1.0
13,4,760.0,1124.0,37.0,36.0,1,2,1.0
14,1,1925.0,830.0,36.0,44.0,1,1,1.0
14,2,1160.0,996.0,46.0,28.0,1,3,1.0
14,3,676.0,1320.0,30.0,24.0,1,4,1.0
14,4,742.0,1129.0,48.0,28.0,1,2,1.0
15,1,1918.0,822.0,34.0,48.0,1,1,1.0
15,2,1168.0,984.0,48.0,38.0,1,3,1.0
15,3,673.0,1320.0,33.0,29.0,1,4,1.0
15,4,724.0,1124.0,46.0,30.0,1,2,1.0
16,1,1912.0,813.0,40.0,40.0,1,1,1.0
16,2,1183.0,969.0,36.0,38.0,1,3,1.0
16,3,670.0,1322.0,32.0,28.0,1,4,1.0
16,4,710.0,1121.0,46.0,31.0,1,2,1.0
17,1,1910.0,812.0,37.0,41.0,1,1,1.0
17,2,1183.0,964.0,35.0,40.0,1,3,1.0
17,3,668.0,1321.0,37.0,27.0,1,4,1.0
17,4,702.0,1116.0,44.0,36.0,1,2,1.0
18,1,1904.0,806.0,39.0,42.0,1,1,1.0
18,2,1191.0,950.0,29.0,37.0,1,3,1.0
18,3,669.0,1321.0,36.0,24.0,1,4,1.0
18,4,689.0,1120.0,38.0,31.0,1,2,1.0
19,1,1898.0,796.0,43.0,46.0,1,1,1.0
19,2,1192.0,934.0,30.0,47.0,1,3,1.0
19,3,668.0,1321.0,37.0,24.0,1,4,1.0
19,4,681.0,1130.0,45.0,42.0,1,2,1.0
